|0000|006|1||8C198402432C43B33FAAD191010F8C8BCA8BC7CB6|01122021|31122021|FM MODEL TRANSPORTES LTDA|05367368000106|SP|3536505||00|1|
|0001|0|
|0110|1|2|1||
|0111|0|0|0|0|0|
|0150|5XG0YRAHZ|HOWMET RODAS DE ALUMINIO LTDA.|1058|34271569000103||119338407116|3550308||V ANHANGUERA|SN|KM 17 COMPLEXO ANHANGUERA GALPAO1 MOD III SL 3|PARQUE SAO DOMINGOS|
|0150|68F0WQC27|CODEMA COMERCIAL E IMPORTADORA LTDA.|1058|60849197002960||3220017292|4321667||AV INACIO JOSE SCHAEFFER|2430||CENTRO|
|0150|6400YEAIT|WC METAIS BRASIL LTDA.|1058|13099143000144||600058574112|3545209||AVENIDA MALASIA|1517||OLARIA|
|0150|5WN10LVHQ|SMART DIESEL COMERCIO E SERVICOS DE AUTO PECAS EIRELI - EPP|1058|26637216000156||141506860114|3523404||RUA ADELMO CORRADINI|222||JARDIM HARMONIA|
|0150|5W80T95HK|VANDA COLACO FAVARELLI & CIA|1058|06995388000194||600121860111|3545209||RUA FLORIANO PEIXOTO 2634|2634||JD. DAS NACOES|
|0150|60T0XTNPD|VIA TRUCKS SAO PAULO COMERCIO DE CAMINHOES LTDA|1058|18703805000329||799334853111|3548708||RUA PEDRO ZOLCSAK|50||FERRAZOPOLIS|
|0150|6570WMVM8|TCM MANUTENCAO DE CAMINHOES LTDA - EPP|1058|21750018000180||513085608110|3536505||AVENIDA SIDNEY CARDON DE OLIVEIRA|489||CASCATA|
|0150|5W80T9ZMJ|WINNIE DIESEL RETIFICA DE MOTORES E PECAS LTDA|1058|59205583000130||669486548118|3552205||RUA IVONE DA SILVA SANTOS|50||MARIA ANTONIA PRADO|
|0150|5EP0WHS4I|AUTO POSTO MANGUEIRA MASTER LTDA|1058|03060864000197||600052292110|3545209||AV MARECHAL RONDOM|1553||PEDREGULHO|
|0150|5WN10NMM6|PAULO SERGIO DE OLIVEIRA PECAS|1058|08106876000129||383066976110|3523503||RUA SOLFERINO DI PIERO|86||VILA SAO JOAO|
|0150|6400YHUZZ|VANESSA BIONDI FERNANDES ARRUDA LTDA|1058|36109779000125||387304826116|3523909||AVENIDA CAETANO RUGGIERI|2406||PARQUE NOSSA SENHORA DA CANDEL|
|0150|68F0WMEX2|CANTU PNEUS|1058|08888040002410||11627366|3304557||R FRANCISCO DE S E MELO 01590|Galpão 3|ARMAZÉM122|CORDOVIL|
|0150|68F0WMTZ5|CLAUDOMIRO ANTONIO MARIANO EPP|1058|19668239000162||417381831111|3526902||RODOVIA ANHANGUERA SP 330 KM 146|S/N|BRCAO C|DOS PIRES|
|0150|5EP0WJ96U|WALTER ROCCHI JUNIOR COM. DE TINTAS EPP|1058|05815029000145||600118470111|3545209||RUA SETE DE SETEMBRO|00130||CENTRO|
|0150|5EP0WIG5Z|GAS E SOLDA EIRELI - ME|1058|08528947000181||669574702117|3552205||AV. SAO PAULO GALPAO 2|2981||ALEM PONTE|
|0150|5FK0NCHQB|JOSE SOARES DOS REIS RADIADORES - EPP|1058|64655939000177||554017582117|3540606||AV DR ANTONIO P DE ALMEIDA|1916||JARDIM BELA FONTE|
|0150|5Y00DWRLF|CLODOALDO COM DE ENCERADOS E CORDAS LTDA|1058|08022744000119||336772567114|3518800||RUA ALEXANIA|177||CUMBICA|
|0150|68F0WWQA4|POSTO SANTA EDWIGES PETROLEO LTDA|1058|19848233000762||3884365050610|3161700||RODOVIA BR 040|226|KM 2259|CANOEIROS|
|0150|5W80T9B8V|MACPONTA CAMINHOES LTDA|1058|16671210000303||219063941118|3507001||ZELIA DE LIMA ROSA|2100||PARQUE INDUSTRIAL|
|0150|5FK0NB2BO|ARTZAC COMUNICACAO VISUAL LTDA|1058|01834042000190||600046664113|3545209||AVENIDA DOS TRABALHADORES|1430||JARDIM MARILIA|
|0150|6570WDFA8|FACCHINI S.A.|1058|03509978003278||123102197|2105302||ROD BR010 KM 13545|S/N||SANTA RITA|
|0150|5W80TCL46|M.A. COMERCIO DE PLASTICOS E BORRACHA LTDA EPP|1058|20476061000218||535777380115|3538709||RUA AIMORES|402||ALTO|
|0150|5WN10M04S|DIAFER EIRELI|1058|04798677000500||371239899118|3522307||RUA PADRE ALBUQUERQUE|931||CENTRO|
|0150|5WN10N6LM|D CAMINHO CAMINHOES LTDA|1058|34507958000195||124049065110|3549805||AVENIDA MARGINAL SP310 RODOVIA WASHINGTON LUIZ|6055|RODOVIA WASHINGTON LUIZ|JARDIM DO CEDRO|
|0150|68F0WQJVW|COMBUSTIVEIS CADIESEL|1058|00404539000106||282881557|5003702||ROD BR 163 KM 196  320 M|S/N||ZONA RURAL|
|0150|639129FWS|USIMETAL USINAGEM E METALURGICA EIRELI|1058|20522452000140||257390960|4211702||RUA ANNA ZOMER|499||BUSSOLO|
|0150|5W80T8TFQ|COLE LOG IMP EXP ARMAZENAGEM TRANSPORTES E LOGISTICA EIRELI|1058|14492954000173||206147440117|3505708||RUA JUSSARA|1925||JARDIM SANTA CECILIA|
|0150|5W80TAOG6|AKL PECAS PARA CAMINHOES LTDA|1058|16718544000123||9060522291|4115200||MARGINAL RODOLFO CREMM|2424||CONJ HABITACIONAL REQUIAO|
|0150|68F0WUT96|VILA ESPERANCA COMERCIO DE COMBUSTIVEIS LTDA|1058|09533651000111||036531375|2611606||ROD BR 232|0||MANASSU|
|0150|5W80T8T6Y|BASSI E BASSI COMERCIO DE ESTOPAS LTDA|1058|11346529000188||795021930110|3509502||RUA SERRA DAS VERTENTES|331||JARDIM PARANAPANEMA|
|0150|6400YIHOH|BALÊ PEÇAS E EQUIPAMENTOS LTDA|1058|54848072000112||387035791118|3523909||RUA JOAQUIM BERNARDES BORGES|691||VILA NOVA|
|0150|5W80T9EXM|AUTO POSTO NOVO AGUA LIMPA LTDA|1058|36253629000190||204271669113|3505500||RODOVIA BRIGADEIRO FARIA LIMA|S/N|KM 447 MAIS 30 METRO|ZONA RURAL|
|0150|61Q0Y8L08|CONCREBASE SERVICOS DE CONCRETAGEM LTDA|1058|55204002001751||387296406115|3523909||AV EUGEN WISSMANN|2040||BAIRRO JARDIM AEROPO|
|0150|5EP0WJOJ2|HIPERSOM DISTRIBUIDORA DE BATERIAS LTDA|1058|30558755000177||387312049117|3523909||RUA PROFESSOR ANTONIO DIRCEU MARMO|630||SAO LUIZ|
|0150|5FK0NDP7Y|PLASTICOS CARTIE INDUSTRIA E COMERCIO LTDA - EPP|1058|05299685000132||188081340114|3503901||RUA ARUTEC|70|B|JARDIM FAZENDA RINCAO|
|0150|5FK0NFU5B|REDE DE POSTOS MARAJO GRANDE GOIANIA LTDA|1058|20940512000145||106387626|5209705||ROD BR 153|0|KM 540|ZONA RURAL|
|0150|5W80TBPZ2|HDS REFRIGERACAO LTDA|1058|02864261002803||438491947111|3529005||RUA CASTRO ALVES|255||SOMENZARI|
|0150|68F0WQY67|MARIA CELINA DO CARMO BASAGLIA EIRELI - EPP|1058|04715469000168||283201959|5008305||AV RANULPHO MARQUES|170||JD DOS IPES|
|0150|5W80T94TE|POSTOS WK CAMPINORTE LTDA|1058|27958007000177||107110245|5204706||RODOVIA BR 153 0|0|KM 952|ZONA RURAL|
|0150|5YE10VHSQ|POSTO MINAS GERAIS ARCOS LTDA - ME|1058|26515785000129||0028613670091|3104205||ROD BR 354 KM 484|484|PREDIO|ZONA RURAL|
|0150|5W80TAJJ4|MCM COMERCIO DE CAMINHOES E ONIBUS LTDA|1058|06073566000634||126123063|2105302||RODOVIA BR010|km 1503||SANTA RITA|
|0150|60T0XW42K|M.J.A. MORAES-EPP|1058|38915815000173||387054467118|3523909||ROD CASTELO BRANCO SN  KM|00074||BAIRRO VAREJAO|
|0150|65R167RSA|POSTO JR FAISAO VIII LTDA|1058|26631571000118||136898663|2928802||RODOVIA BR 116 KM 477|477|PREDIO|ZONA RURAL|
|0150|5W80T9V6R|AUTO POSTO ALIANZ - EIRELI - ME|1058|20978403000117||294849270|1700350||R EMANESCENTE DO LT 01 QD 15 LT 01|S/N||LOTEAMENTO PARQUE UN|
|0150|68F0WQBM5|CREARE SISTEMAS LTDA|1058|15438805000199||0240456327|4304606||AV. FARROUPILHA|8001|SALA 209 E 210 - PRÉDIO 16|SÃO JOSÉ|
|0150|5EP0WHP4O|J X AUTO VIDRO LTDA ME|1058|02182828000133||387090589113|3523909||RUA MAESTRO ISAIAS SPARANINZE BELCUFINE|242||JARDIM PADRE BENTO|
|0150|68F0WU98O|OMC COMERCIO E TRANSPORTES DE DER. DE PETROLEO LTDA.|1058|26157211000126||125045921|2102804||ROD BR 230|08||ZONA RURAL|
|0150|5EP0WFA0O|VIA TRUCKS GUARULHOS COMERCIO DE CAMINHOES LTDA|1058|18703805000167||796132683118|3518800||GUARULHOSARUJA|544||JARDIM ALAMO|
|0150|68F0WLZIC|NEGOCIO DA CHINA MOVEIS EIRELI|1058|23874787000116||7023870030080|3170206||AVENIDA JOAO NAVES DE AVILA|3738||CARAJAS|
|0150|61Q0XYXEQ|PSJ GUARIBA COMERCIO DE COMBUSTIVEIS LTDA|1058|29906010000172||334040220114|3518602||ROD BRIGADEIRO FARIA LIMA|S/N|KM 326|ZONA RURAL|
|0150|5EP0WFAXU|GD FORCE TRUCK COM E DIST.DE PECAS E SERVICOS LTDA ME|1058|11309900000131||255998465|4218707||VIA NOSSA SENHORA APARECIDA|1000||CRUZEIRO|
