|0000|006|1||E63F12C673C9EB8A8C9C41FE11EFE82FDD0EFB880|01012022|31012022|FM MODEL TRANSPORTES LTDA|05367368000106|SP|3523909||00|1|
|0001|0|
|0110|1|2|1||
|0111|0|0|0|0|0|
|0150|6570WMVM8|TCM MANUTENCAO DE CAMINHOES LTDA - EPP|1058|21750018000180||513085608110|3536505||AVENIDA SIDNEY CARDON DE OLIVEIRA|489||CASCATA|
|0150|6970WBGDV|POSTO JR FAISAO X LTDA - FILIAL|1058|31765703000215||0032967290122|3125101||RODOVIA FERNAO DIAS SN|SN|KM 949,9 SENTIDO MG-SP|PIRES|
|0150|5W80T9ZMJ|WINNIE DIESEL RETIFICA DE MOTORES E PECAS LTDA|1058|59205583000130||669486548118|3552205||RUA IVONE DA SILVA SANTOS|50||MARIA ANTONIA PRADO|
|0150|5EP0WHS4I|AUTO POSTO MANGUEIRA MASTER LTDA|1058|03060864000197||600052292110|3545209||AV MARECHAL RONDOM|1553||PEDREGULHO|
|0150|60T0XTNPD|VIA TRUCKS SAO PAULO COMERCIO DE CAMINHOES LTDA|1058|18703805000329||799334853111|3548708||RUA PEDRO ZOLCSAK|50||FERRAZOPOLIS|
|0150|5WN10MPOS|SP COMERCIO DE FERRAMENTAS EIRELI|1058|31872003000149||606278460113|3545803||AVENIDA DE CILLO|1340||CENTRO|
|0150|6400YHUZZ|VANESSA BIONDI FERNANDES ARRUDA LTDA|1058|36109779000125||387304826116|3523909||AVENIDA CAETANO RUGGIERI|2406||PARQUE NOSSA SENHORA DA CANDEL|
|0150|5W80TASOK|SAO ROQUE MORRINHOS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA|1058|26609432000198||106864793|5213806||O UTROS ROD BR 153|SN|KM 598|ZONA RURAL|
|0150|5EP0WJ96U|WALTER ROCCHI JUNIOR COM. DE TINTAS EPP|1058|05815029000145||600118470111|3545209||RUA SETE DE SETEMBRO|00130||CENTRO|
|0150|5EP0WIG5Z|GAS E SOLDA EIRELI - ME|1058|08528947000181||669574702117|3552205||AV. SAO PAULO GALPAO 2|2981||ALEM PONTE|
|0150|5FK0NCHQB|JOSE SOARES DOS REIS RADIADORES - EPP|1058|64655939000177||554017582117|3540606||AV DR ANTONIO P DE ALMEIDA|1916||JARDIM BELA FONTE|
|0150|5Y00DWRLF|CLODOALDO COM DE ENCERADOS E CORDAS LTDA|1058|08022744000119||336772567114|3518800||RUA ALEXANIA|177||CUMBICA|
|0150|6970W6Q6L|PAEZANI COM.SERV.MQ.IND.EIRELI EPP|1058|07595605000111||669552300110|3552205||AVENIDA LIBERDADE|5253||PARQUE INDUSTRIAL, BLOCO B|
|0150|62K0VD1BK|DISTRIBUIDORA MONTEFELTRO DE PECAS E SERVICOS LTDA|1058|07891417000130||582704767115|3543402||RUA DR JOSE RIBEIRO FERREIRA|640||JARDIM SAO JOSE|
|0150|5FK0NB2BO|ARTZAC COMUNICACAO VISUAL LTDA|1058|01834042000190||600046664113|3545209||AVENIDA DOS TRABALHADORES|1430||JARDIM MARILIA|
|0150|5W80T9B8V|MACPONTA CAMINHOES LTDA|1058|16671210000303||219063941118|3507001||ZELIA DE LIMA ROSA|2100||PARQUE INDUSTRIAL|
|0150|5XE0U4IGZ|MADEIREIRA SALTENSE|1058|00006281000190||600037600110|3545209||RUA JOAQUIM NABUCO|601||CENTRO|
